SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
Saurashtra & Kutch,2005,0,0,0,0.2,0.2,201.2,126.7,68.4,233.1,1.7,0,0,631.6
Saurashtra & Kutch,2006,0,0,1.9,0,0,66.2,373.4,189.8,68.2,1.4,0.3,0.6,701.8
Saurashtra & Kutch,2007,0,1.9,0.1,0,0.2,114.1,209.2,405.4,157,1.7,1.2,0,890.7
Saurashtra & Kutch,2008,0.1,0.1,0.1,0.5,0,96,150.3,115.1,231.6,5.8,0.6,7.7,607.9
Saurashtra & Kutch,2009,0,0,0,0,0,68.1,409.1,106,8.8,3.3,1.5,0,596.9
Saurashtra & Kutch,2010,0.1,0,0,0,0.1,71.1,393.8,391.3,187.6,11.6,64.3,0,1119.9
Saurashtra & Kutch,2011,0,1.4,0,0,0,26,212.7,290.9,210.1,1.2,0.1,0,742.5
Saurashtra & Kutch,2012,0,0,0,0.2,0.1,22.4,34.7,34.5,228.5,2.4,0,1,323.8
Saurashtra & Kutch,2013,1.7,0.2,0.1,8.5,0.1,127.7,171.2,83.3,260.2,28.6,0,0,681.8
Saurashtra & Kutch,2014,0.3,0,0.1,0.5,2.1,17.3,137.7,118.8,99.2,5.2,2.7,0,383.9
Saurashtra & Kutch,2015,0.9,0,4.4,2.1,0.8,112.6,226.7,10.6,79.9,3.3,0.3,0,441.7
Saurashtra & Kutch,2016,0,0,0.3,0,1.1,31.3,110,216,59.6,64.7,0,0,482.9
Saurashtra & Kutch,2017,0.1,0,0,0,0.1,81.8,368.6,153.5,41.8,4.8,0,1.3,652.1
Konkan & Goa,1961,0,5.2,0,2.3,182.2,738,1543.3,712.6,486.1,248.9,2.4,0,3921
Konkan & Goa,1962,0.2,0,0.1,0.7,129.5,435.5,1355.1,880.4,525.9,48.8,12.8,96.2,3485.1
Konkan & Goa,1963,0,0.1,0.1,1.1,7.6,594.5,1178.8,1414.7,306.3,91.9,11.7,0,3606.8
Konkan & Goa,1964,0,0,0,0.9,5.2,690.3,908.3,1031.8,378.9,158,18.9,0.4,3192.7
Konkan & Goa,1965,3.4,0,0,5.7,0.1,817.6,1393.7,608.8,147.5,8.9,2.2,83.7,3071.5
Konkan & Goa,1966,0,0,0,0.2,64.7,370,1168.8,224.1,443.5,43.9,111.3,1.1,2427.5
Konkan & Goa,1967,0,0,7.7,0.8,7.5,768.9,1109.2,416.9,317.1,109.6,0.7,14,2752.3
Konkan & Goa,1968,0,0.3,0.1,6,1.5,556.9,1134.7,318.7,202.1,130.4,8.6,0,2359.4
Konkan & Goa,1969,0,0,0,1.1,2.4,666.5,1282.2,527.1,586,37.9,23.2,0.9,3127.4
Konkan & Goa,1970,0,0,0,1.5,74.5,963.3,993.8,1164.8,312.7,85.8,0,0.2,3596.6
Konkan & Goa,1971,0,0,0,0.3,85.1,1011.9,650.8,602,362.6,40.4,0.9,0,2754
Konkan & Goa,1972,0,0.1,0,0.6,10.7,662,731.6,293.9,138.8,8.5,26.8,0,1873
